Продукт;Белки;Жиры;Углеводы;Каллории
Аргентина;17.6;2.0;0.0;88.0
Амур белый;18.6;5.3;0.0;134.0
Бычок;17.5;2.0;0.0;88.0
Вобла;18.0;2.8;0.0;95.0
Горбуша;20.5;6.5;0.0;140.0
Дорадо;18.0;3.0;0.0;96.0
Зубатка пестрая;19.6;5.3;0.0;126.0
Кальмар;18.0;2.2;2.0;100.0
Камбала дальневосточная;15.7;3.0;0.0;90.0
Карась;17.7;1.8;0.0;87.0
Карп;16.0;5.3;0.0;112.0
Кета;19.0;5.6;0.0;127.0
Кефаль;21.0;0.4;0.0;124.0
Кижуч;21.6;5.9;0.0;146.0
Килька балтийская;14.1;9.0;0.0;137.0
Килька каспийская;18.5;13.1;0.0;192.0
Китовое мясо;22.5;3.2;0.0;119.0
Краб камчатский, мясо;18.2;1.0;0.0;82.0
Креветки;17.0;0.6;0.0;80.0
Лангуст;18.8;1.3;0.5;89.0
Лангуст вареный;20.5;0.7;0.3;90.0
Ледяная рыба;15.5;1.4;0.0;75.0
Лемонема;15.9;0.4;0.0;67.0
Лещ;17.1;4.1;0.0;105.0
Лобстер;18.8;0.9;0.5;90.0
Лосось атлантический (семга);20.0;8.1;0.0;153.0
Лосось;19.8;6.3;0.0;142.0
Макрурус;13.2;0.8;0.0;60.0
Мидии;11.5;2.0;3.3;77.0
Минтай;15.9;0.9;0.0;72.0
Мойва весенняя;13.1;7.1;0.0;116.0
Мойва осенняя;13.6;18.1;0.0;217.0
Молоки рыб;16.0;2.9;0.0;90.0
Морской гребешок;17.0;2.0;3.0;92.0
Навага;19.2;1.6;0.0;91.0
Налим;18.8;0.6;0.0;81.0
Нерка красная;20.3;8.4;0.0;157.0
Окунь морской;18.2;3.3;0.0;103.0
Окунь речной;18.5;0.9;0.0;82.0
Омар;18.8;1.3;0.5;89.0
Омар вареный;20.5;0.7;0.3;90.0
Осетр каспийский;16.4;10.9;0.0;164.0
Осетр;15.8;15.4;0.0;202.0
Палтус белокорый;18.9;3.0;0.0;103.0
Пангасиус;15.3;3.0;0.0;89.0
Пикша;17.2;0.5;0.0;73.0
Плотва;17.5;2.0;0.0;88.0
Путассу;18.5;0.9;0.0;82.0
Рак речной;15.5;1.0;1.2;76.0
Рак речной вареный;20.3;1.3;1.0;97.0
Рапана;16.7;1.1;0.0;77.0
Сазан;18.2;2.7;0.0;97.0
Сельдь атлантическая нежирная;19.1;6.5;0.0;135.0
Сельдь атлантическая жирная;17.7;19.5;0.0;248.0
Сельдь тихоокеанская нежирная;18.0;7.0;0.0;135.0
Сельдь тихоокеанская жирная;14.0;15.0;0.0;191.0
Семга;21.6;6.0;0.0;140.0
Семга брюшки;25.0;24.0;0.0;310.0
Скумбрия атлантическая;18.0;13.2;0.0;191.0
Скумбрия;18.7;11.9;0.0;181.0
Сом;17.2;5.1;0.0;115.0
Ставрида океаническая;18.5;4.5;0.0;114.0
Стерлядь;17.0;6.1;0.0;122.0
Судак;18.4;1.1;0.0;84.0
Терпуг;17.8;3.4;0.0;102.0
Тилапия;20.1;1.7;0.0;96.0
Треска атлантическая;17.8;0.7;0.0;82.0
Треска тихоокеанская;15.3;0.4;0.0;69.0
Тунец голубой;23.3;4.9;0.0;144.0
Тунец желтоперый (желтохвостый);24.4;0.5;0.0;109.0
Тунец полосатый;22.0;1.0;0.0;103.0
Устрица;9.0;2.0;4.5;72.0
Форель;19.2;2.1;0.0;97.0
Форель морская;20.5;4.3;0.0;157.0
Хек;16.6;2.2;0.0;86.0
Щука;18.4;1.1;0.0;84.0
Язык морской;10.3;5.2;0.0;88.0
Язь;18.2;1.0;0.0;81.0
Вобла вяленая;46.4;5.5;0.0;235.0
Горбуша горячего копчения;23.2;7.6;0.0;161.0
Горбуша соленая;22.1;9.0;0.0;169.0
Кальмары сушеные;62.0;2.0;5.0;286.0
Кета соленая;24.3;9.6;0.0;184.0
Килька балтийская горячего копчения;21.3;8.5;0.0;162.0
Килька балтийская соленая;17.1;7.6;0.0;137.0
Килька пряного посола;14.8;10.5;0.0;154.0
Крабовые палочки;6.2;0.38;10.0;70.0
Икра красная лососевая;32.0;15.0;0.0;263.0
Икра минтая пробойная;27.9;1.8;1.1;132.0
Икра мойвы "Санта Бремор";8.1;36.9;0.0;365.0
Икра сельди;31.6;10.3;0.0;222.0
Икра черная осетровая зернистая;28.4;9.3;0.6;200.0
Икра осетровая паюсная;38.2;14.5;1.5;289.0
Икра щучья;17.3;2.0;0.0;87.0
Лосось соленый;21.0;20.5;0.0;269.0
Лещ вяленый;42.0;5.9;0.0;221.0
Лещ горячего копчения;32.8;4.5;0.0;172.0
Лещ холодного копчения;29.7;4.6;0.0;160.0
Масляная рыба копченая;18.0;12.0;0.0;180.0
Мойва копченая;18.0;22.0;0.0;270.0
Окунь морской горячего копчения;23.5;8.0;0.0;166.0
Осетр холодного копчения, балык;20.4;12.5;0.0;194.0
Салака копченая;25.4;5.6;0.0;152.0
Сельдь горячего копчения;21.8;14.3;0.0;215.0
Сельдь атлантическая среднесоленая;17.0;8.5;0.0;145.0
Сельдь тихоокеанская среднесоленая;17.4;17.1;0.0;224.0
Сельдь соленая;19.8;15.4;0.0;217.0
Семга соленая потрошеная с головой;22.5;12.5;0.0;202.0
Семга копченая;22.5;12.5;0.0;202.0
Скумбрия горячего копчения;22.1;23.8;0.0;307.0
Скумбрия холодного копчения;23.4;6.4;0.0;150.0
Форель копченая;26.0;3.1;0.5;132.0
Форель слабосоленая;20.6;10.1;0.0;186.0
Форель слабосоленая жирная;23.0;15.0;0.0;227.0
Хамса соленая;21.2;9.0;0.0;166.0
Бычки в томатном соусе;17.5;2.0;0.0;88.0
Горбуша натуральная;20.9;5.8;0.0;136.0
Горбуша в томатном соусе;15.0;6.0;4.1;130.0
Кальмары;15.0;1.0;1.7;76.0
Килька в томатном соусе;14.0;12.0;4.5;182.0
Крабы;18.7;1.1;0.1;85.0
Лосось (консервы);20.6;6.3;0.0;144.0
Мидии (консервы);17.5;2.0;0.0;88.0
Морская капуста;0.8;5.1;0.0;49.0
Печень минтая;6.0;50.0;0.0;474.0
Печень трески;4.2;65.7;1.2;613.0
Сайра бланшированная в масле;18.3;23.3;0.0;283.0
Сардины с добавлением масла;19.0;18.0;0.0;238.0
Сардины в масле;24.1;13.9;0.0;221.0
Сардины в томатном соусе;17.0;9.9;1.4;162.0
Сельдь;17.5;2.0;0.0;88.0
Сельдь в растительном масле;16.4;26.5;0.0;301.0
Скумбрия натуральная;17.7;14.4;0.0;200.0
Скумбрия в масле;14.4;28.9;0.0;318.0
Ставрида в масле;15.6;27.4;0.0;309.0
Ставрида в томатном соусе;14.8;2.3;73.0;110.0
Тунец натуральный;22.5;0.7;0.0;96.0
Тунец в масле;22.0;15.9;0.0;232.0
Шпроты в масле;17.4;32.4;0.4;363.0
Шпротный паштет;12.0;14.0;5.3;195.0
